trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success,actions-0,actions-1,actions-2,actions-3,actions-4
62,False,"{'a': 0.5, 'e': 0.536268225207185}",30,2,-23.14492578577265,"{0: 22, 1: 2, 2: 3, 3: 1, 4: 0}",1,22,2,3,1,0
63,False,"{'a': 0.5, 'e': 0.5309055429551132}",25,10,-6.4641294001304,"{0: 11, 1: 3, 2: 1, 3: 0, 4: 0}",1,11,3,1,0,0
64,False,"{'a': 0.5, 'e': 0.525596487525562}",25,13,-35.446139181244405,"{0: 7, 1: 0, 2: 5, 3: 0, 4: 0}",1,7,0,5,0,0
65,False,"{'a': 0.5, 'e': 0.5203405226503064}",25,0,-137.6907261882003,"{0: 17, 1: 0, 2: 4, 3: 2, 4: 2}",1,17,0,4,2,2
66,False,"{'a': 0.5, 'e': 0.5151371174238033}",25,0,-47.830788907490316,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0,20,1,3,0,1
67,False,"{'a': 0.5, 'e': 0.5099857462495653}",20,0,-59.45375974279529,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0,14,3,2,0,1
68,False,"{'a': 0.5, 'e': 0.5048858887870696}",25,0,-103.32781663898847,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0,15,3,5,1,1
69,False,"{'a': 0.5, 'e': 0.4998370298991989}",30,0,-134.53561232399838,"{0: 21, 1: 0, 2: 6, 3: 1, 4: 2}",0,21,0,6,1,2
70,False,"{'a': 0.5, 'e': 0.49483865960020695}",25,0,-57.63131334826769,"{0: 19, 1: 3, 2: 1, 3: 1, 4: 1}",0,19,3,1,1,1
71,False,"{'a': 0.5, 'e': 0.4898902730042049}",25,0,-49.38068660159569,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0,20,1,3,0,1
72,False,"{'a': 0.5, 'e': 0.48499137027416284}",20,0,-127.36976930204392,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0,12,1,4,1,2
73,False,"{'a': 0.5, 'e': 0.4801414565714212}",20,0,2.0864969497955688,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",1,17,2,1,0,0
74,False,"{'a': 0.5, 'e': 0.47534004200570695}",20,1,-13.797333662124329,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1,18,0,0,0,1
75,False,"{'a': 0.5, 'e': 0.4705866415856499}",35,0,-89.37918841939602,"{0: 25, 1: 4, 2: 4, 3: 1, 4: 1}",0,25,4,4,1,1
76,False,"{'a': 0.5, 'e': 0.46588077516979337}",25,0,-7.123384488265987,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0,20,2,3,0,0
77,False,"{'a': 0.5, 'e': 0.46122196741809546}",25,0,-58.407617160419974,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0,18,3,3,0,1
78,False,"{'a': 0.5, 'e': 0.4566097477439145}",25,7,-68.45308201834693,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 1}",1,12,0,5,0,1
79,False,"{'a': 0.5, 'e': 0.45204365026647536}",20,0,-9.943030531277936,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0,16,1,3,0,0
80,False,"{'a': 0.5, 'e': 0.4475232137638106}",25,17,6.380503478005785,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1,7,0,1,0,0
81,False,"{'a': 0.5, 'e': 0.4430479816261725}",30,8,-97.677787906849,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 3}",1,18,1,0,0,3
