trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success,actions-0,actions-1,actions-2,actions-3,actions-4
148,False,"{'a': 0.5, 'e': 0.47622912292284114}",20,0,-35.05232972006621,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0,14,3,2,1,0
149,False,"{'a': 0.5, 'e': 0.4738479773082269}",25,5,-60.22647584264824,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",1,14,1,4,0,1
150,False,"{'a': 0.5, 'e': 0.4714787374216858}",35,17,-45.90092246409023,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 1}",1,14,0,3,0,1
151,False,"{'a': 0.5, 'e': 0.46912134373457737}",25,0,9.416040210926925,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0,23,0,2,0,0
152,False,"{'a': 0.5, 'e': 0.46677573701590447}",25,19,10.206993766877941,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1,6,0,0,0,0
153,False,"{'a': 0.5, 'e': 0.46444185833082496}",20,7,0.0498086917210292,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1,11,1,1,0,0
154,False,"{'a': 0.5, 'e': 0.46211964903917085}",25,0,-108.71661545635632,"{0: 16, 1: 1, 2: 5, 3: 2, 4: 1}",1,16,1,5,2,1
155,False,"{'a': 0.5, 'e': 0.459809050793975}",25,10,18.081608966414407,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1,14,1,0,0,0
156,False,"{'a': 0.5, 'e': 0.4575100055400051}",20,14,10.1260895125275,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1,6,0,0,0,0
157,False,"{'a': 0.5, 'e': 0.45522245551230506}",20,10,7.872808481313423,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1,9,1,0,0,0
158,False,"{'a': 0.5, 'e': 0.45294634323474353}",25,3,-9.900406241289378,"{0: 19, 1: 0, 2: 2, 3: 1, 4: 0}",1,19,0,2,1,0
159,False,"{'a': 0.5, 'e': 0.45068161151856984}",30,9,6.477866449684931,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 0}",1,18,1,2,0,0
160,False,"{'a': 0.5, 'e': 0.44842820346097695}",20,7,11.654723772460702,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1,12,0,1,0,0
161,False,"{'a': 0.5, 'e': 0.4461860624436721}",20,0,-52.473954027812795,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0,16,0,3,0,1
162,False,"{'a': 0.5, 'e': 0.4439551321314537}",20,0,-23.341885882118824,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0,18,0,1,0,1
163,False,"{'a': 0.5, 'e': 0.4417353564707965}",30,8,-98.9486630212417,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 2}",1,18,0,0,2,2
164,False,"{'a': 0.5, 'e': 0.43952667968844245}",20,5,0.6181251272796615,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1,13,0,2,0,0
165,False,"{'a': 0.5, 'e': 0.43732904629000025}",20,0,-25.182359693277732,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0,16,1,2,1,0
166,False,"{'a': 0.5, 'e': 0.43514240105855023}",20,9,4.895851205895342,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 0}",1,9,2,0,0,0
167,False,"{'a': 0.5, 'e': 0.4329666890532575}",30,0,-12.18693461501287,"{0: 25, 1: 1, 2: 4, 3: 0, 4: 0}",0,25,1,4,0,0
168,False,"{'a': 0.5, 'e': 0.4308018556079912}",25,3,-72.90621799152616,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 2}",1,18,0,2,0,2
169,False,"{'a': 0.5, 'e': 0.42864784632995123}",25,16,-34.97802041873932,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1,7,0,1,0,1
170,False,"{'a': 0.5, 'e': 0.4265046070983015}",20,0,3.015288108930315,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0,17,3,0,0,0
171,False,"{'a': 0.5, 'e': 0.42437208406280996}",25,0,-93.55018856643886,"{0: 20, 1: 0, 2: 2, 3: 1, 4: 2}",0,20,0,2,1,2
172,False,"{'a': 0.5, 'e': 0.4222502236424959}",20,1,-62.61461476763758,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 2}",1,16,1,0,0,2
173,False,"{'a': 0.5, 'e': 0.42013897252428345}",25,8,18.600219128283918,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1,16,1,0,0,0
174,False,"{'a': 0.5, 'e': 0.418038277661662}",25,16,-10.457832320710569,"{0: 7, 1: 1, 2: 0, 3: 1, 4: 0}",1,7,1,0,1,0
175,False,"{'a': 0.5, 'e': 0.4159480862733537}",35,25,11.267695273862731,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1,9,1,0,0,0
176,False,"{'a': 0.5, 'e': 0.41386834584198695}",25,0,-30.86238323785115,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0,20,0,4,1,0
177,False,"{'a': 0.5, 'e': 0.41179900411277703}",30,7,-95.5721788625762,"{0: 17, 1: 1, 2: 2, 3: 1, 4: 2}",1,17,1,2,1,2
