trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success,actions-0,actions-1,actions-2,actions-3,actions-4
205,False,"{'a': 0.5, 'e': 0.35787515808676373}",25,3,-52.03677468826338,"{0: 17, 1: 2, 2: 1, 3: 1, 4: 1}",1,17,2,1,1,1
206,False,"{'a': 0.5, 'e': 0.35608578229632987}",25,14,-0.00013699796260624453,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1,10,0,0,1,0
207,False,"{'a': 0.5, 'e': 0.35430535338484825}",30,16,-25.061395884852555,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1,12,0,1,0,1
208,False,"{'a': 0.5, 'e': 0.352533826617924}",25,17,14.98404869847749,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1,8,0,0,0,0
209,False,"{'a': 0.5, 'e': 0.3507711574848344}",30,18,-4.025436761285297,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1,10,0,2,0,0
210,False,"{'a': 0.5, 'e': 0.3490173016974102}",30,16,-1.012052672313887,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1,12,0,2,0,0
211,False,"{'a': 0.5, 'e': 0.34727221518892315}",20,0,-57.274750709549565,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0,14,1,3,2,0
212,False,"{'a': 0.5, 'e': 0.34553585411297855}",25,7,4.147877054259395,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1,16,0,2,0,0
213,False,"{'a': 0.5, 'e': 0.34380817484241366}",25,13,1.426556430315028,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1,11,0,0,1,0
214,False,"{'a': 0.5, 'e': 0.34208913396820156}",30,8,33.39031058305086,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1,22,0,0,0,0
215,False,"{'a': 0.5, 'e': 0.34037868829836054}",20,12,15.115161035205709,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1,8,0,0,0,0
216,False,"{'a': 0.5, 'e': 0.33867679485686875}",30,0,14.682160111411372,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0,28,0,2,0,0
217,False,"{'a': 0.5, 'e': 0.33698341088258443}",25,7,-8.940585758406321,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1,17,0,0,0,1
218,False,"{'a': 0.5, 'e': 0.3352984938281715}",30,14,26.54427694559472,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1,16,0,0,0,0
219,False,"{'a': 0.5, 'e': 0.33362200135903064}",25,17,14.413536075665187,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1,8,0,0,0,0
220,False,"{'a': 0.5, 'e': 0.33195389135223546}",20,6,12.883935925201097,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1,13,0,1,0,0
221,False,"{'a': 0.5, 'e': 0.3302941218954743}",20,14,8.830440202783414,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1,6,0,0,0,0
222,False,"{'a': 0.5, 'e': 0.3286426512859969}",25,6,-20.783236919359805,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 1}",1,17,0,1,0,1
223,False,"{'a': 0.5, 'e': 0.32699943802956694}",20,12,16.376893301396983,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1,8,0,0,0,0
224,False,"{'a': 0.5, 'e': 0.3253644408394191}",20,12,-41.56184401482629,"{0: 5, 1: 2, 2: 0, 3: 0, 4: 1}",1,5,2,0,0,1
225,False,"{'a': 0.5, 'e': 0.323737618635222}",25,11,19.902199218280327,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1,14,0,0,0,0
226,False,"{'a': 0.5, 'e': 0.3221189305420459}",25,0,23.854261122276633,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0,23,1,1,0,0
227,False,"{'a': 0.5, 'e': 0.32050833588933564}",30,3,-10.595088957892338,"{0: 22, 1: 3, 2: 2, 3: 0, 4: 0}",1,22,3,2,0,0
228,False,"{'a': 0.5, 'e': 0.31890579420988896}",25,12,3.33467319116612,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1,11,0,2,0,0
