trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success,actions-0,actions-1,actions-2,actions-3,actions-4
188,False,"{'a': 0.5, 'e': 0.1511529349531471}",20,14,9.88072373696736,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1,6,0,0,0,0
189,False,"{'a': 0.5, 'e': 0.14964140560361563}",20,8,17.391768916242086,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1,12,0,0,0,0
190,False,"{'a': 0.5, 'e': 0.14814499154757946}",20,10,17.716733037626327,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1,10,0,0,0,0
191,False,"{'a': 0.5, 'e': 0.14666354163210368}",25,16,14.994073997397665,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1,9,0,0,0,0
192,False,"{'a': 0.5, 'e': 0.14519690621578263}",20,8,-85.7692136338667,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 2}",1,8,0,2,0,2
193,False,"{'a': 0.5, 'e': 0.1437449371536248}",20,0,23.887840158813077,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0,19,0,1,0,0
194,False,"{'a': 0.5, 'e': 0.14230748778208857}",20,6,-26.03499522804269,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1,12,0,1,0,1
195,False,"{'a': 0.5, 'e': 0.14088441290426768}",20,10,5.436131983743978,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1,9,0,1,0,0
196,False,"{'a': 0.5, 'e': 0.139475568775225}",35,21,2.7757078205948305,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1,13,0,0,1,0
197,False,"{'a': 0.5, 'e': 0.13808081308747275}",30,21,16.936779692532433,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1,9,0,0,0,0
198,False,"{'a': 0.5, 'e': 0.136700004956598}",20,13,14.509048705630912,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1,7,0,0,0,0
199,False,"{'a': 0.5, 'e': 0.13533300490703204}",30,20,23.069139622773523,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1,10,0,0,0,0
200,False,"{'a': 0.5, 'e': 0.13397967485796172}",25,11,14.403458276556261,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1,13,0,1,0,0
201,False,"{'a': 0.5, 'e': 0.1326398781093821}",30,18,9.178945216103175,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1,11,0,1,0,0
202,False,"{'a': 0.5, 'e': 0.13131347932828827}",20,10,-33.33802665612763,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1,8,0,1,0,1
203,False,"{'a': 0.5, 'e': 0.1300003445350054}",25,15,17.70267685516472,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1,10,0,0,0,0
204,False,"{'a': 0.5, 'e': 0.12870034108965533}",25,12,18.954376596245503,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1,13,0,0,0,0
205,False,"{'a': 0.5, 'e': 0.1274133376787588}",35,21,26.440771871450067,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1,14,0,0,0,0
206,False,"{'a': 0.5, 'e': 0.12613920430197118}",20,14,12.822062928209188,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1,6,0,0,0,0
207,False,"{'a': 0.5, 'e': 0.12487781225895148}",20,16,8.370698811873362,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1,4,0,0,0,0
208,False,"{'a': 0.5, 'e': 0.12362903413636196}",25,8,-22.389433397801707,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1,15,0,1,0,1
